年份,品类,指标,省份,数值,单位
2024,双季晚稻,播种面积,湖南,1269.90,千公顷
2024,夏粮,产量,全国,14989,万吨
2024,夏粮,播种面积,全国,26613.10,千公顷
2024,大豆,产量,全国,2065,万吨
2024,大豆,播种面积,全国,10330,千公顷
2024,小麦,产量,全国,14009.90,万吨
2024,小麦,产量,湖北,410.47,万吨
2024,小麦,产量,重庆,6.12,万吨
2024,小麦,产量,贵州,25.98,万吨
2024,小麦,产量,云南,56.40,万吨
2024,小麦,产量,甘肃,303,万吨
2024,小麦,产量,青海,38.01,万吨
2024,小麦,产量,新疆,703.20,万吨
2024,小麦,播种面积,全国,23587.40,千公顷
2024,小麦,播种面积,湖北,1043.54,千公顷
2024,小麦,播种面积,贵州,103.22,千公顷
2024,小麦,播种面积,甘肃,736,千公顷
2024,小麦,播种面积,青海,97.34,千公顷
2024,小麦,播种面积,新疆,1170.10,千公顷
2024,早稻,播种面积,全国,4754.80,千公顷
2024,梨,产量,新疆,189.51,万吨
2024,棉花,产量,全国,616.40,万吨
2024,棉花,产量,天津,0.10,万吨
2024,棉花,产量,河北,7.10,万吨
2024,棉花,产量,江苏,0.44,万吨
2024,棉花,产量,浙江,0.20,万吨
2024,棉花,产量,安徽,1.90,万吨
2024,棉花,产量,江西,2.10,万吨
2024,棉花,产量,山东,12.70,万吨
2024,棉花,产量,河南,0.70,万吨
2024,棉花,产量,湖北,9.31,万吨
2024,棉花,产量,湖南,8.40,万吨
2024,棉花,产量,甘肃,4.70,万吨
2024,棉花,产量,新疆,568.60,万吨
2024,棉花,播种面积,全国,2838.30,千公顷
2024,棉花,播种面积,天津,0.90,千公顷
2024,棉花,播种面积,河北,57.90,千公顷
2024,棉花,播种面积,江苏,3,千公顷
2024,棉花,播种面积,安徽,20.30,千公顷
2024,棉花,播种面积,江西,19,千公顷
2024,棉花,播种面积,山东,99.80,千公顷
2024,棉花,播种面积,河南,5.60,千公顷
2024,棉花,播种面积,湖北,98.40,千公顷
2024,棉花,播种面积,湖南,60.73,千公顷
2024,棉花,播种面积,甘肃,22.20,千公顷
2024,棉花,播种面积,新疆,2447.90,千公顷
2024,油料,产量,全国,3979,万吨
2024,油料,产量,江苏,106.11,万吨
2024,油料,产量,安徽,189.50,万吨
2024,油料,产量,福建,24.91,万吨
2024,油料,产量,江西,151.30,万吨
2024,油料,产量,山东,284.30,万吨
2024,油料,产量,湖北,406.41,万吨
2024,油料,产量,湖南,302.20,万吨
2024,油料,产量,广东,123.15,万吨
2024,油料,产量,四川,460.80,万吨
2024,油料,产量,贵州,116.25,万吨
2024,油料,产量,甘肃,67.40,万吨
2024,油料,产量,青海,33.57,万吨
2024,油料,产量,新疆,49.90,万吨
2024,油料,播种面积,全国,14290,千公顷
2024,油料,播种面积,吉林,243.10,千公顷
2024,油料,播种面积,江苏,317,千公顷
2024,油料,播种面积,安徽,665.40,千公顷
2024,油料,播种面积,江西,818.90,千公顷
2024,油料,播种面积,湖南,1641.04,千公顷
2024,油料,播种面积,广东,366.51,千公顷
2024,油料,播种面积,四川,1771,千公顷
2024,油料,播种面积,贵州,620.71,千公顷
2024,油料,播种面积,青海,150.84,千公顷
2024,油料,播种面积,新疆,153.70,千公顷
2024,油菜籽,产量,江苏,62.92,万吨
2024,油菜籽,产量,安徽,110.80,万吨
2024,油菜籽,产量,福建,1.46,万吨
2024,油菜籽,产量,江西,87.60,万吨
2024,油菜籽,产量,湖北,292.04,万吨
2024,油菜籽,播种面积,浙江,142,千公顷
2024,油菜籽,播种面积,江西,600.20,千公顷
2024,烟叶,产量,江西,2.50,万吨
2024,烟叶,产量,甘肃,0.50,万吨
2024,烤烟,产量,福建,13.82,万吨
2024,烤烟,产量,湖南,20.60,万吨
2024,玉米,产量,全国,29491.70,万吨
2024,玉米,产量,吉林,3459.56,万吨
2024,玉米,产量,湖北,315.24,万吨
2024,玉米,产量,重庆,261,万吨
2024,玉米,产量,贵州,372.63,万吨
2024,玉米,产量,云南,1075.80,万吨
2024,玉米,产量,甘肃,684.90,万吨
2024,玉米,产量,青海,15.96,万吨
2024,玉米,产量,新疆,1508.50,万吨
2024,玉米,播种面积,全国,44740.70,千公顷
2024,玉米,播种面积,吉林,4558.60,千公顷
2024,玉米,播种面积,湖北,765.46,千公顷
2024,玉米,播种面积,贵州,747.80,千公顷
2024,玉米,播种面积,青海,22.78,千公顷
