年份,品类,指标,省份,数值,单位,作物类别
2024,双季晚稻,种植面积,湖南,19048500.0,亩,粮食作物
2024,夏粮,产量,全国,149890000.0,吨,粮食作物
2024,夏粮,种植面积,全国,399196500.0,亩,粮食作物
2024,大豆,产量,全国,20650000.0,吨,粮食作物
2024,大豆,种植面积,全国,154950000.0,亩,粮食作物
2024,小麦,产量,全国,140099000.0,吨,粮食作物
2024,小麦,产量,湖北,4104700.0000000005,吨,粮食作物
2024,小麦,产量,重庆,61200.0,吨,粮食作物
2024,小麦,产量,贵州,259800.0,吨,粮食作物
2024,小麦,产量,云南,564000.0,吨,粮食作物
2024,小麦,产量,甘肃,3030000.0,吨,粮食作物
2024,小麦,产量,青海,380100.0,吨,粮食作物
2024,小麦,产量,新疆,7032000.0,吨,粮食作物
2024,小麦,种植面积,全国,353811000.0,亩,粮食作物
2024,小麦,种植面积,湖北,15653100.0,亩,粮食作物
2024,小麦,种植面积,贵州,1548300.0,亩,粮食作物
2024,小麦,种植面积,甘肃,11040000.0,亩,粮食作物
2024,小麦,种植面积,青海,1460100.0,亩,粮食作物
2024,小麦,种植面积,新疆,17551500.0,亩,粮食作物
2024,早稻,种植面积,全国,71322000.0,亩,粮食作物
2024,梨,产量,新疆,1895100.0,吨,经济作物
2024,棉花,产量,全国,6164000.0,吨,经济作物
2024,棉花,产量,天津,1000.0,吨,经济作物
2024,棉花,产量,河北,71000.0,吨,经济作物
2024,棉花,产量,江苏,4400.0,吨,经济作物
2024,棉花,产量,浙江,2000.0,吨,经济作物
2024,棉花,产量,安徽,19000.0,吨,经济作物
2024,棉花,产量,江西,21000.0,吨,经济作物
2024,棉花,产量,山东,127000.0,吨,经济作物
2024,棉花,产量,河南,7000.0,吨,经济作物
2024,棉花,产量,湖北,93100.0,吨,经济作物
2024,棉花,产量,湖南,84000.0,吨,经济作物
2024,棉花,产量,甘肃,47000.0,吨,经济作物
2024,棉花,产量,新疆,5686000.0,吨,经济作物
2024,棉花,种植面积,全国,42574500.0,亩,经济作物
2024,棉花,种植面积,天津,13500.0,亩,经济作物
2024,棉花,种植面积,河北,868500.0,亩,经济作物
2024,棉花,种植面积,江苏,45000.0,亩,经济作物
2024,棉花,种植面积,安徽,304500.0,亩,经济作物
2024,棉花,种植面积,江西,285000.0,亩,经济作物
2024,棉花,种植面积,山东,1497000.0,亩,经济作物
2024,棉花,种植面积,河南,84000.0,亩,经济作物
2024,棉花,种植面积,湖北,1476000.0,亩,经济作物
2024,棉花,种植面积,湖南,910950.0,亩,经济作物
2024,棉花,种植面积,甘肃,333000.0,亩,经济作物
2024,棉花,种植面积,新疆,36718500.0,亩,经济作物
2024,油料,产量,全国,39790000.0,吨,经济作物
2024,油料,产量,江苏,1061100.0,吨,经济作物
2024,油料,产量,安徽,1895000.0,吨,经济作物
2024,油料,产量,福建,249100.0,吨,经济作物
2024,油料,产量,江西,1513000.0,吨,经济作物
2024,油料,产量,山东,2843000.0,吨,经济作物
2024,油料,产量,湖北,4064100.0000000005,吨,经济作物
2024,油料,产量,湖南,3022000.0,吨,经济作物
2024,油料,产量,广东,1231500.0,吨,经济作物
2024,油料,产量,四川,4608000.0,吨,经济作物
2024,油料,产量,贵州,1162500.0,吨,经济作物
2024,油料,产量,甘肃,674000.0,吨,经济作物
2024,油料,产量,青海,335700.0,吨,经济作物
2024,油料,产量,新疆,499000.0,吨,经济作物
2024,油料,种植面积,全国,214350000.0,亩,经济作物
2024,油料,种植面积,吉林,3646500.0,亩,经济作物
2024,油料,种植面积,江苏,4755000.0,亩,经济作物
2024,油料,种植面积,安徽,9981000.0,亩,经济作物
2024,油料,种植面积,江西,12283500.0,亩,经济作物
2024,油料,种植面积,湖南,24615600.0,亩,经济作物
2024,油料,种植面积,广东,5497650.0,亩,经济作物
2024,油料,种植面积,四川,26565000.0,亩,经济作物
2024,油料,种植面积,贵州,9310650.0,亩,经济作物
2024,油料,种植面积,青海,2262600.0,亩,经济作物
2024,油料,种植面积,新疆,2305500.0,亩,经济作物
2024,油菜籽,产量,江苏,629200.0,吨,经济作物
2024,油菜籽,产量,安徽,1108000.0,吨,经济作物
2024,油菜籽,产量,福建,14600.0,吨,经济作物
2024,油菜籽,产量,江西,876000.0,吨,经济作物
2024,油菜籽,产量,湖北,2920400.0,吨,经济作物
2024,油菜籽,种植面积,浙江,2130000.0,亩,经济作物
2024,油菜籽,种植面积,江西,9003000.0,亩,经济作物
2024,烟叶,产量,江西,25000.0,吨,经济作物
2024,烟叶,产量,甘肃,5000.0,吨,经济作物
2024,烤烟,产量,福建,138200.0,吨,经济作物
2024,烤烟,产量,湖南,206000.0,吨,经济作物
2024,玉米,产量,全国,294917000.0,吨,粮食作物
2024,玉米,产量,吉林,34595600.0,吨,粮食作物
2024,玉米,产量,湖北,3152400.0,吨,粮食作物
2024,玉米,产量,重庆,2610000.0,吨,粮食作物
2024,玉米,产量,贵州,3726300.0,吨,粮食作物
2024,玉米,产量,云南,10758000.0,吨,粮食作物
2024,玉米,产量,甘肃,6849000.0,吨,粮食作物
2024,玉米,产量,青海,159600.0,吨,粮食作物
2024,玉米,产量,新疆,15085000.0,吨,粮食作物
2024,玉米,种植面积,全国,671110500.0,亩,粮食作物
2024,玉米,种植面积,吉林,68379000.0,亩,粮食作物
2024,玉米,种植面积,湖北,11481900.0,亩,粮食作物
2024,玉米,种植面积,贵州,11217000.0,亩,粮食作物
2024,玉米,种植面积,青海,341700.0,亩,粮食作物
2024,玉米,种植面积,新疆,23695500.0,亩,粮食作物
2024,瓜果类,种植面积,浙江,1230000.0,亩,经济作物
2024,甘蔗,产量,福建,285000.0,吨,经济作物
2024,甘蔗,种植面积,江西,193500.0,亩,经济作物
2024,甜菜,产量,甘肃,184000.0,吨,经济作物
2024,甜菜,产量,新疆,7311000.0,吨,经济作物
2024,甜菜,种植面积,新疆,1302000.0,亩,经济作物
2024,秋粮,产量,全国,528434000.0,吨,粮食作物
2024,秋粮,产量,安徽,23250000.0,吨,粮食作物
2024,秋粮,种植面积,全国,1319268000.0,亩,粮食作物
2024,秋粮,种植面积,湖南,51729000.0,亩,粮食作物
2024,稻谷,产量,全国,207530000.0,吨,粮食作物
